status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
no checking account,12,all credits at this bank paid back duly,others,691,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,car or other,35,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad
no checking account,42,existing credits paid back duly till now,furniture/equipment,4370,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,car or other,26,bank,rent,2-3,skilled employee/official,3 or more,yes (under customer name),no,bad
no checking account,36,critical account/other credits elsewhere,car (used),2746,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,31,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,24,delay in paying off in the past,car (used),4110,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,real estate,23,bank,for free,2-3,skilled employee/official,3 or more,no,no,bad
no checking account,18,no credits taken/all credits paid back duly,car (used),2462,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,12,no credits taken/all credits paid back duly,car (used),1282,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,12,delay in paying off in the past,car (used),2969,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,car or other,25,none,for free,2-3,skilled employee/official,0 to 2,no,no,bad
no checking account,48,delay in paying off in the past,car (new),4605,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,real estate,24,none,own,2-3,skilled employee/official,3 or more,no,no,bad
no checking account,48,all credits at this bank paid back duly,car (new),6331,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,46,none,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,24,critical account/other credits elsewhere,car (used),3552,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,27,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,12,critical account/other credits elsewhere,others,697,unknown/no savings account,< 1 yr,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,46,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,24,no credits taken/all credits paid back duly,others,1442,unknown/no savings account,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,for free,2-3,skilled employee/official,0 to 2,no,no,bad
no checking account,27,delay in paying off in the past,retraining,5293,unknown/no savings account,unemployed,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,50,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,21,existing credits paid back duly till now,repairs,3414,unknown/no savings account,< 1 yr,25 <= ... < 35,male : married/widowed,none,< 1 yr,car or other,26,stores,rent,2-3,skilled employee/official,0 to 2,no,no,bad
no checking account,18,no credits taken/all credits paid back duly,car (used),2039,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,unknown / no property,20,none,for free,1,skilled employee/official,0 to 2,no,no,bad
no checking account,24,critical account/other credits elsewhere,retraining,3161,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,31,bank,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,12,no credits taken/all credits paid back duly,vacation,902,unknown/no savings account,4 <= ... < 7 yrs,< 20,female : single,none,>= 7 yrs,car or other,21,none,for free,1,skilled employee/official,0 to 2,no,no,bad
no checking account,48,no credits taken/all credits paid back duly,car (new),10297,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,39,none,own,4-5,skilled employee/official,3 or more,yes (under customer name),no,bad
... < 0 DM,48,delay in paying off in the past,retraining,14421,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,25,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
... < 0 DM,18,all credits at this bank paid back duly,others,1056,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,guarantor,4 <= ... < 7 yrs,unknown / no property,30,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad
no checking account,12,no credits taken/all credits paid back duly,others,1274,unknown/no savings account,< 1 yr,20 <= ... < 25,female : non-single or male : single,none,< 1 yr,unknown / no property,37,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
... < 0 DM,12,no credits taken/all credits paid back duly,others,1223,unknown/no savings account,>= 7 yrs,>= 35,male : divorced/separated,none,< 1 yr,unknown / no property,46,none,for free,2-3,skilled employee/official,0 to 2,no,no,bad
no checking account,12,no credits taken/all credits paid back duly,others,1372,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : divorced/separated,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,16,all credits at this bank paid back duly,others,2625,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,guarantor,>= 7 yrs,car or other,43,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),yes,bad
no checking account,20,all credits at this bank paid back duly,others,2235,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : single,guarantor,1 <= ... < 4 yrs,car or other,33,bank,for free,2-3,skilled employee/official,0 to 2,no,yes,bad
... < 0 DM,9,no credits taken/all credits paid back duly,car (used),959,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,18,all credits at this bank paid back duly,others,884,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,3 or more,yes (under customer name),no,bad
... < 0 DM,24,no credits taken/all credits paid back duly,others,1246,unknown/no savings account,< 1 yr,< 20,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,23,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
... < 0 DM,36,existing credits paid back duly till now,others,8086,... <  100 DM,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,42,stores,rent,>= 6,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,48,all credits at this bank paid back duly,others,10127,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,real estate,44,none,own,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,12,no credits taken/all credits paid back duly,others,888,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,41,bank,rent,1,unskilled - resident,3 or more,no,no,bad
... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,repairs,719,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,41,bank,rent,1,unskilled - resident,3 or more,no,no,bad
... < 0 DM,36,no credits taken/all credits paid back duly,others,12389,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,>= 7 yrs,real estate,37,bank,own,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,12,no credits taken/all credits paid back duly,furniture/equipment,709,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,57,none,rent,1,unskilled - resident,0 to 2,no,no,bad
... < 0 DM,15,critical account/other credits elsewhere,others,6850,... <  100 DM,unemployed,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,car or other,34,stores,rent,1,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,10,no credits taken/all credits paid back duly,car (used),2210,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,25,none,for free,1,unskilled - resident,0 to 2,no,no,bad
... >= 200 DM / salary for at least 1 year,30,critical account/other credits elsewhere,car (new),7485,... >= 1000 DM,unemployed,< 20,female : non-single or male : single,none,< 1 yr,unknown / no property,53,bank,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
no checking account,18,critical account/other credits elsewhere,others,1442,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,32,bank,own,2-3,unskilled - resident,3 or more,no,no,bad
... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,furniture/equipment,797,... >= 1000 DM,>= 7 yrs,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,car or other,33,none,rent,1,unskilled - resident,3 or more,no,no,bad
... < 0 DM,45,all credits at this bank paid back duly,furniture/equipment,4746,unknown/no savings account,< 1 yr,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,24,bank,rent,2-3,unskilled - resident,0 to 2,no,no,bad
0<= ... < 200 DM,12,all credits at this bank paid back duly,others,939,100 <= ... <  500 DM,4 <= ... < 7 yrs,< 20,female : single,none,1 <= ... < 4 yrs,unknown / no property,28,none,rent,4-5,skilled employee/official,0 to 2,yes (under customer name),no,bad
... < 0 DM,21,no credits taken/all credits paid back duly,retraining,1188,unknown/no savings account,>= 7 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,car or other,39,none,rent,1,skilled employee/official,3 or more,no,no,bad
... >= 200 DM / salary for at least 1 year,48,all credits at this bank paid back duly,car (new),11590,... <  100 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,24,none,for free,2-3,unskilled - resident,0 to 2,no,no,bad
0<= ... < 200 DM,12,critical account/other credits elsewhere,retraining,609,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,< 1 yr,unknown / no property,26,bank,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,bad
no checking account,18,all credits at this bank paid back duly,domestic appliances,1190,unknown/no savings account,unemployed,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,real estate,55,none,own,4-5,unemployed/unskilled - non-resident,3 or more,no,no,bad
... < 0 DM,21,no credits taken/all credits paid back duly,retraining,2767,... <  100 DM,>= 7 yrs,< 20,male : divorced/separated,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,61,none,for free,2-3,unskilled - resident,0 to 2,no,no,bad
... < 0 DM,30,no credits taken/all credits paid back duly,car (used),3441,... <  100 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,co-applicant,>= 7 yrs,building soc. savings agr./life insurance,21,bank,for free,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,30,delay in paying off in the past,retraining,4280,... <  100 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,26,none,for free,2-3,unskilled - resident,0 to 2,no,no,bad
... < 0 DM,24,no credits taken/all credits paid back duly,furniture/equipment,3092,... <  100 DM,< 1 yr,20 <= ... < 25,female : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,22,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,others,6761,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,68,stores,for free,2-3,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1331,unknown/no savings account,< 1 yr,25 <= ... < 35,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,54,delay in paying off in the past,retraining,15945,unknown/no savings account,< 1 yr,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,real estate,58,none,for free,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,24,no credits taken/all credits paid back duly,car (used),3234,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,23,none,for free,1,unskilled - resident,0 to 2,yes (under customer name),no,bad
... < 0 DM,15,no credits taken/all credits paid back duly,furniture/equipment,802,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,37,none,rent,1,skilled employee/official,3 or more,no,no,bad
... < 0 DM,48,no credits taken/all credits paid back duly,car (used),9960,unknown/no savings account,< 1 yr,>= 35,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,retraining,8648,unknown/no savings account,< 1 yr,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,27,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
